Time,Weather,Wind
2017/8/4,2,0
2017/8/5,1,0
2017/8/6,1,0
2017/8/7,1,0
2017/8/8,1,6
2017/8/9,1,8
2017/8/10,2,6
2017/8/11,1,6
2017/8/12,0,6
2017/8/13,0,0
2017/8/14,0,8
2017/8/15,1,0
2017/8/16,0,0
2017/8/17,0,0
2017/8/18,0,0
2017/8/19,1,0
2017/8/20,0,0
2017/8/21,1,0
2017/8/22,2,0
2017/8/23,2,14
2017/8/24,2,8
2017/8/25,2,0
2017/8/26,2,6
2017/8/27,2,12
2017/8/28,2,0
2017/8/29,1,0
2017/8/30,1,0
2017/8/31,0,0
2017/9/1,2,0
2017/9/2,2,0
2017/9/3,2,10
2017/9/4,2,6
2017/9/5,1,0
2017/9/6,1,0
2017/9/7,1,0
2017/9/8,1,0
2017/9/9,1,0
2017/9/10,0,0
2017/9/11,0,0
2017/9/12,1,0
2017/9/13,0,0
2017/9/14,1,8
2017/9/15,0,0
2017/9/16,0,0
2017/9/17,0,0
2017/9/18,0,0
2017/9/19,1,0
2017/9/20,1,0
2017/9/21,1,0
2017/9/22,0,0
2017/9/23,1,0
2017/9/24,2,10
2017/9/25,1,0
2017/9/26,0,0
2017/9/27,0,0
2017/9/28,0,0
2017/9/29,1,0
2017/9/30,1,6
2017/10/1,1,0
2017/10/2,1,0
2017/10/3,1,6
2017/10/4,1,8
2017/10/5,2,8
2017/10/6,0,6
2017/10/7,0,8
2017/10/8,0,6
2017/10/9,1,8
2017/10/10,0,10
2017/10/11,0,0
2017/10/12,0,0
2017/10/13,0,6
2017/10/14,2,10
2017/10/15,2,14
2017/10/16,2,8
2017/10/17,1,6
2017/10/18,0,0
2017/10/19,0,6
2017/10/20,0,0
2017/10/21,0,6
2017/10/22,0,0
2017/10/23,0,8
2017/10/24,0,0
2017/10/25,0,0
2017/10/26,0,0
2017/10/27,0,0
2017/10/28,0,0
2017/10/29,0,8
2017/10/30,0,0
2017/10/31,0,0
2017/11/1,0,0
2017/11/2,0,0
2017/11/3,0,8
2017/11/4,0,10
2017/11/5,1,6
2017/11/6,1,0
2017/11/7,1,0
2017/11/8,0,0
2017/11/9,0,8
2017/11/10,0,0
2017/11/11,0,8
2017/11/12,1,10
2017/11/13,0,6
2017/11/14,0,0
2017/11/15,0,6
2017/11/16,0,6
2017/11/17,0,0
2017/11/18,1,8
2017/11/19,1,8
2017/11/20,0,8
2017/11/21,0,0
2017/11/22,0,8
2017/11/23,0,6
2017/11/24,1,0
2017/11/25,1,6
2017/11/26,0,0
2017/11/27,0,10
2017/11/28,0,8
2017/11/29,0,0
2017/11/30,0,0
2017/12/1,0,0
2017/12/2,0,0
2017/12/3,0,0
2017/12/4,0,0
2017/12/5,0,0
2017/12/6,0,6
2017/12/7,0,0
2017/12/8,0,8
2017/12/9,0,0
2017/12/10,0,0
2017/12/11,0,0
2017/12/12,0,8
2017/12/13,0,0
2017/12/14,0,6
2017/12/15,0,0
2017/12/16,0,0
2017/12/17,0,8
2017/12/18,0,10
2017/12/19,0,8
2017/12/20,0,8
2017/12/21,0,6
2017/12/22,0,6
2017/12/23,0,0
2017/12/24,0,6
2017/12/25,0,8
2017/12/26,0,0
2017/12/27,0,8
2017/12/28,0,0
2017/12/29,0,0
2017/12/30,0,0
2017/12/31,0,8
